,論文の発行年,論文が発行された媒体,媒体の巻号,論文タイトル,著者,媒体のページ数
0,2021,建築生産シンポジウム論文集,,ミャンマー連邦共和国の建設事情に基づく現場人材教育に関する研究,"三原斉 (ものつくり大), 深井和宏, 吉田敏 (産業技術大学院大), 吉田倬郎, 浦江真人 (東洋大), 佐々木留美子 (東北工大)",
1,2021,建築生産シンポジウム論文集,,プレカットを用いた木造軸組住宅(四号建築物)に関する研究 柱配置に基づく架構ブロックによるDR手法,"金原昂雄 (芝浦工大), 村上淳史 (村上木構造デザイン室), 藤田譲 (藤田木造構法計画), 蟹澤宏剛 (芝浦工大 建築)",
2,2021,建築生産シンポジウム論文集,,PCa工法のBIM活用と生産性に関する研究-現状の活用の事例を通しての考察-,"持田泰秀 (立命館大 理工), 坂田博史 (建研)",
3,2021,建築生産シンポジウム論文集,,"OmniClassとUniclass 2015を利用したWBSの比較および,実務的適用やBIMとそのWBSの連携に関する考察~OmniClassのUniFormatとMasterFormat及び,Uniclass 2015のElements/FunctionやSystemsとProductsを対象とした~","KIEU Tri Cuong (芝浦工大), 志手一哉 (芝浦工大 建築)",
4,2021,建築生産シンポジウム論文集,,平成27年関東・東北豪雨により被災した地域の水害対策の有効性に関する研究,"宮元竣也 (東京電機大 大学院未来科学研究科), 小笠原正豊 (東京電機大 未来科学)",
5,2021,建築生産シンポジウム論文集,,素材・焼石加工と建築生産システム,藤尾直史 (千葉科大),
6,2021,建築生産シンポジウム論文集,,英国の建築士による最高限度額を保証する専門工事業者との協働に関する考察,"南雲要輔 (ホプキンス・アーキテクツ), 南雲要輔 (京大 大学院)",
7,2021,建築生産シンポジウム論文集,,米国における『専門工事業者による設計』を組み込んだ建築プロジェクト運営方式の動向,平野吉信 (芝浦工大),
8,2021,建築生産シンポジウム論文集,,BIMを用いた基本設計初期段階における工期検討に関する研究,"尾門智志 (工学院大 建築), 遠藤和義 (工学院大 建築), 岩村雅人 (工学院大 建築)",
9,2021,建築生産シンポジウム論文集,,東南アジアにおける外装・設備工事に関する制度比較からみる建設就労者への技能教育への課題,"佐々木留美子 (東北工大 建築), 権藤智之 (東大), KIM Sunwook (八戸工高専)",
10,2021,建築生産シンポジウム論文集,,女性建設技術者の就労環境に関する実態調査,"小此鬼彩夏 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 工), 萩原彩 (芝浦工大 大学院理工学研究科)",
11,2021,建築生産シンポジウム論文集,,ストック管理に向けた工事費内訳書の継続的活用に関する研究,"橋本真一 (芝浦工大), 志手一哉 (芝浦工大), 堤洋樹 (前橋工大), 内藤海斗 (芝浦工大 大学院)",
12,2021,建築生産シンポジウム論文集,,東日本大震災以降の被災地における建設市場及び建設産業の変化と影響の検証~建設業者の視点から~,"小野寺徹 (サン工業), 遠藤和義 (工学院大 建築)",
13,2021,建築生産シンポジウム論文集,,公共工事における一者入札問題の考察:2001-2020年度の首都圏公共建築工事を対象にした分析,"岩松準 (建築コスト管理システム研究所), 遠藤和義 (工学院大 建築)",
14,2021,建築生産シンポジウム論文集,,非住宅建築市場における構造別・用途別の着工量の推移と工事費変動の関係について,"遠藤和義 (工学院大 建築), 岩松準 (建築コスト管理システム研)",
15,2021,建築生産シンポジウム論文集,,設計BIM言語と施工BIM言語の翻訳可能性に関する検討,"岩村雅人 (工学院大 建築), 遠藤和義 (工学院大 建築), 尾門智志 (工学院大 建築)",
16,2021,建築生産シンポジウム論文集,,建築初学者を対象とした地方自治体が主催する実施コンペからみた建築設計教育に関する考察,"辻井麻衣子 (西日本工大 デザイン), 木多彩子 (摂南大 理工)",
17,2021,建築生産シンポジウム論文集,,デジタル化された施工システムの概念化に関する文献研究,"SHIGAKI Jeferson Shin-Iti (Univ. Tokyo), YASHIRO Tomonari (Univ. Tokyo)",
18,2021,建築生産シンポジウム論文集,,VR空間を用いた運搬動作データの検証に関する基礎的検討,石岡宏晃 (清水建設 技研),
19,2021,建築生産シンポジウム論文集,,公共建築工事におけるプロジェクト初期からのプロジェクト・マネージャー導入可能性の検討,田村篤 (建築研),
20,2021,建築生産シンポジウム論文集,,多能工の生産性に関する研究,"松村千裕 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 番尚雄 (鹿島建設), 村山正丞 (鹿島建設), XIE Zixi (芝浦工大 大学院理工学研究科), 高木星子 (芝浦工大 大学院理工学研究科)",
21,2021,建築生産シンポジウム論文集,,PFI事業の公共発注者による民間開発事業者の評価に関する考察-業務要求水準書と選定結果公表資料の比較を通して-,"濱田友幸 (京大 大学院工学研究科), 金多隆 (京大 大学院工学研究科), 西野佐弥香 (京大 大学院工学研究科)",
22,2021,建築生産シンポジウム論文集,,テキストマイニングによる建築生産分野の研究動向の調査-日本建築学会建築生産シンポジウム論文集を対象として-,"斎藤寛彰 (戸田建設 イノベーション推進セ), 石岡宏晃 (清水建設 技研), 志手一哉 (芝浦工大 建築)",
23,2021,建築生産シンポジウム論文集,,建築物の点群データ密度とその品質およびデータの軽量化に関する研究,"入野祥宏 (早稲田大 大学院創造理工学研究科), 石田航星 (早稲田大 創造理工)",
24,2021,建築生産シンポジウム論文集,,プレキャスト部材の製造工程の改善に関する研究,"仲村弥夏 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 大学院理工学研究科), 桑名遥香 (芝浦工大 大学院理工学研究科), 蓮尾孝一 (三井住友建設)",
25,2021,建築生産シンポジウム論文集,,BIMデータ標準仕様であるIFCの情報解析,"ZHU Zhenglu (インクス), ZHU Zhenglu (芝浦工大 大学院理工学研究科), 志手一哉 (芝浦工大 建築)",
26,2021,建築生産シンポジウム論文集,,スポーツ科学を応用した建築技能の見える化に関する研究 その1 モーションキャプチャの適用可能性に関する検討,"後藤田中 (香川大 創造工), 蟹澤宏剛 (芝浦工大 工)",
27,2021,建築生産シンポジウム論文集,,写真測量データを使用した施工シミュレーションに関する研究-修繕工事の仮設工事におけるシミュレーション-,"桑田祥平 (早稲田大 理工学術院), 石田航星 (早稲田大 創造理工)",
28,2021,建築生産シンポジウム論文集,,ICMSの分類を基にした家屋評価体系の改善手法に関する考察,堤洋樹 (前橋工科大 工),
29,2021,建築生産シンポジウム論文集,,中小規模のオフィスビルの今後の利活用に関する研究-アンケート調査から考察するテレワーカーの現状把握-,"鎌倉健太郎 (早稲田大 理工学術院), 石田航星 (早稲田大 創造理工)",
30,2021,建築生産シンポジウム論文集,,画像認識技術を利用した木取りに関する研究,"中尾洋祐 (東京電機大 未来科学), 中尾洋祐 (千葉大), 小笠原正豊 (東京電機大 未来科学)",
31,2021,建築生産シンポジウム論文集,,新型コロナウイルスに対するリスクマネジメントに関するアンケート調査報告,,
32,2021,建築生産シンポジウム論文集,,ハウスメーカーを事例としたモジュール化およびDfMAに関する考察,"LIN Zhiren (芝浦工大 大学院理工学研究科), 小林達宏 (旭化成ホームズ 住宅総技研), 太原豊 (タハラアーキテクツ), 志手一哉 (芝浦工大 建築)",
33,2021,建築生産シンポジウム論文集,,わが国における仕様分類体系の標準化についての一考察「建築工事標準分類」「共通建築コードインデックス」を事例として,小笠原正豊 (東京電機大 未来科学),
34,2021,建築生産シンポジウム論文集,,BIMを用いた建築物環境評価のための基礎的研究-CASBEEの情報構造分析を通じて-,"中岡桃子 (東大), 野城智也 (東大 生産技研)",
35,2021,建築生産シンポジウム論文集,,地方公共団体の実態に合わせた発注者支援方法に関する研究-地方公共団体への発注実態に関する2年分の比較調査-,"内田成耶 (早稲田大 理工学術院), 石田航星 (早稲田大 創造理工)",
36,2021,建築生産シンポジウム論文集,,建築空間に対する位置情報の付与と異種情報との連携に関する研究,"村井一 (東大 生産技研), 野城智也 (東大 生産技研)",
37,2019,建築生産シンポジウム論文集,,CFD解析と実測の比較に関する研究 東京電機大学千葉ニュータウンキャンパスを例として,"池田開 (東京電機大 大学院), 小笠原正豊 (東京電機大 未来科学)",
38,2019,建築生産シンポジウム論文集,,公共施設整備への住民参加手法の検討-ワークショップにおける計画のための与条件の整理-,"原田萌寧 (前橋工科大 大学院工学研究科), 堤洋樹 (前橋工科大 工)",
39,2019,建築生産シンポジウム論文集,,公共建築物をモデルにした建築費指数の試行的作成:建築コスト情報システム(SIBC)データベースの分析(その2),岩松準 (建築コスト管理システム研),
40,2019,建築生産シンポジウム論文集,,公共施設の集約化に対する住民意識の研究-C市・A市における住民の意識調査-,"中川稜太 (早稲田大 院理工学術院), 平井健嗣 (早稲田大 理工学術院 総合研), YI Sangjun (関東学院大 建築・環境), 小松幸夫 (早稲田大 理工学術院)",
41,2019,建築生産シンポジウム論文集,,東京都区部と大阪市における建築ストック利用の調査-ストック利用の変遷の可視化-,"前田侃亮 (早稲田大 理工学術院), 小松幸夫 (早稲田大 理工学術院), 板谷敏正 (プロパティデータバンク), 石原健司 (早稲田大 大学院創造理工学研究科)",
42,2019,建築生産シンポジウム論文集,,プレカットを用いた木造軸組住宅(四号建築物)の現状に関する研究 許容応力度計算及びプレカット工場へのアンケート調査による実態調査,"百海裕樹 (芝浦工大 大学院理工学研究科), 村上淳史 (芝浦工大 建築), 蟹澤宏剛 (芝浦工大), 鈴木康右 (芝浦工大 大学院理工学研究科)",
43,2019,建築生産シンポジウム論文集,,仕様分類体系の日米比較に関する一考察 米国のMasterFormatと日本の公共建築工事標準仕様書(建築工事編)を対象として,小笠原正豊 (東京電機大 未来科学),
44,2019,建築生産シンポジウム論文集,,FCIの分譲マンションへの応用及び修繕積立金残高に基づくマンションマネジメント手法の開発,"石井一輝 (東急コミュニティー 保全統括セ), 村田裕嘉 (東急コミュニティー 保全統括セ), 志手一哉 (芝浦工大 建築), 石田航星 (早稲田大 創造理工)",
45,2019,建築生産シンポジウム論文集,,分譲マンションの大規模修繕工事における工事中の変動要素に伴う取り扱いの実態と課題-コンサルタントへのアンケート調査から-,"宇治康直 (東洋大 工技研), 秋山哲一 (東洋大 理工)",
46,2019,建築生産シンポジウム論文集,,J-REIT公表データからみた建物の収益性とプロジェクト関与者の属性の関係,"遠藤和義 (工学院大 建築), 酒本景太 (住商ビルマネージメント)",
47,2019,建築生産シンポジウム論文集,,中国におけるBIMの普及動向に関する考察-南部地域の現地調査を踏まえて-,"志手一哉 (芝浦工大 建築), ZHU Zheng Lu (芝浦工大 大学院理工学研究科), HONG Liu (芝浦工大 大学院理工学研究科), LI Xuefei (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築)",
48,2019,建築生産シンポジウム論文集,,ホテルプロジェクトプロセスの双軸性とプロジェクトメンバー間の調整者によるマネジメントの現状に関する研究,"田村篤 (京大 大学院工学研究科), 金多隆 (京大 大学院工学研究科)",
49,2019,建築生産シンポジウム論文集,,Data MashupによるFMサービスの契約枠組に関する考察,野城智也 (東大 生産技研),
50,2019,建築生産シンポジウム論文集,,米・英における工事施工者の早期参画を促すプロジェクト運営方式の発展過程と契約構造の特性 その1.米国を中心として,"平野吉信, 安藤正雄",
51,2019,建築生産シンポジウム論文集,,受発注・木材切削加工システムの歴史的意義,藤尾直史 (千葉科大),
52,2019,建築生産シンポジウム論文集,,"複雑形状のRC建築生産における設計者,施工者間のモノ決めの合理化","篠原廉 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 権藤智之 (東大 大学院), 林盛 (東大 大学院), 保坂至 (芝浦工大 大学院理工学研究科)",
53,2019,建築生産シンポジウム論文集,,技能伝承のためのAR技術を応用した教材開発事例,"西澤秀喜 (第一工大), 吉田競人 (第一工大)",
54,2019,建築生産シンポジウム論文集,,日程管理による出来高の平準化が建設会社の収益性向上にもたらす効果の定量化,"加藤仁史 (工学院大), 遠藤和義 (工学院大 建築)",
55,2019,建築生産シンポジウム論文集,,建築作業者の移動速度分析手法の適用 同一部位を施工する作業群のフロア間の比較事例,石岡宏晃 (清水建設 技研),
56,2019,建築生産シンポジウム論文集,,空き家の状態ごとの立地的影響に関する研究,"萱沼竜輝 (前橋工科大), 堤洋樹 (前橋工科大)",
57,2019,建築生産シンポジウム論文集,,Digital Transformationによる建築の価値創造の様態に関する研究,"芦立雄太郎 (東大 大学院工学系研究科), 野城智也 (東大 生産技研)",
58,2019,建築生産シンポジウム論文集,,確率密度分布に基づく工程ネットワーク手法を用いた工事の遅延要因に関する研究,石田航星 (早稲田大 創造理工),
59,2019,建築生産シンポジウム論文集,,地域を持続可能にする公共資産経営の支援体制の構築に向けて,"堤洋樹 (前橋工科大), 水出有紀 (群馬県建設技セ), 恒川淳基 (日本管財)",
60,2019,建築生産シンポジウム論文集,,複雑形状のRC建築の施工段階における設計内容の確定手法とその定量的な分析,"保坂至 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 権藤智之 (東大 大学院), 林盛 (東大 大学院), 篠原廉 (芝浦工大 大学院理工学研究科)",
61,2019,建築生産シンポジウム論文集,,財務諸表を活用した公共施設評価と自治体規模の関係,"水出有紀 (群馬県建設技セ), 堤洋樹 (前橋工科大)",
62,2019,建築生産シンポジウム論文集,,ミャンマー連邦共和国における日本水準の建設技能訓練者育成プログラムに関する研究-技能教育訓練システムの方法と内容について-,"三原斉 (ものつくり大), 深井和宏 (ものつくり大), 吉田敏 (産業技術大学院大), 吉田倬郎, 浦江真人 (東洋大)",
63,2019,建築生産シンポジウム論文集,,公共施設の適切な配置を目指した地域評価の手法に関する研究,"廣瀬朋也 (前橋工科大 大学院), 堤洋樹 (前橋工科大), 讃岐亮 (首都大学東京), 秀島栄三 (名古屋工大)",
64,2019,建築生産シンポジウム論文集,,"ミャンマー連邦共和国における木造関連技能教育訓練システムに関する研究-ミャンマー連邦共和国シャン州,ラカイン州およびマンダレー地方域の木造住宅生産-","深井和宏 (ものつくり大), 三原斉 (ものつくり大), 吉田敏 (産業技術大学院大), 吉田倬郎, 浦江真人 (東洋大)",
65,2019,建築生産シンポジウム論文集,,工業化構法住宅の生産性向上に関する研究(その4)技能者からみた住宅建設現場の改善点,"佐々木麻衣 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 大学院理工学研究科), 松村秀一 (東大 大学院工学系研究科), 林康治 (ミサワホーム総研), 松下克也 (ミサワホーム総研)",
66,2019,建築生産シンポジウム論文集,,大手製造業における維持保全工事の実態調査 維持保全工事の実施内容に関する分析,"北岡泰徳 (早稲田大 大学院創造理工学研究科), 小松幸夫 (早稲田大 理工学術院), 板谷敏正 (プロパティデータバンク)",
67,2019,建築生産シンポジウム論文集,,建設専門工事業における建設技能労働者の担い手確保および女性技能労働者の労働に関する研究,"古田真梨 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 笹沢隆文 (芝浦工大 大学院理工学研究科)",
68,2019,建築生産シンポジウム論文集,,日本における高層建築施工の揚重・運搬の実態に関する研究,"三浦玲児 (東大 大学院), 黒坂雅人 (JR東日本), 権藤智之 (東大 大学院)",
69,2019,建築生産シンポジウム論文集,,BIMにおけるクラシフィケーションシステムの意義に関する研究,"村瀬弘幸 (日本設計), 志手一哉 (芝浦工大 建築), 三上智大 (大和ハウス工業), 田中洋介 (安藤・間), 比嘉俊介 (安井建築設計事務所), 大越潤 (大成建設)",
70,2019,建築生産シンポジウム論文集,,鉄骨生産プロセスのWBS記述とネットワーク手法活用による鉄骨生産プロセスの最適化 研究の枠組みの提示とネットワーク手法活用方法の基礎的検討,"吉田知洋 (鹿島建設), 古川曉 (美浜スチールロジスティクス), CHI Naiyuan (M.C.S.STEEL PUBLIC Co., Ltd.), 角田恒男 (M.C.S.STEEL PUBLIC Co., Ltd.), 岡本裕之 (M.C.S.STEEL PUBLIC Co., Ltd.), 古阪秀三 (立命館大 OIC総合研究機構 グローバルMOT研究セ)",
71,2019,建築生産シンポジウム論文集,,個人住宅の仕様と建築工事費に関する近年の変動と考察,"山本高史 (建設物価調査会 総合研), 丸木健 (建設物価調査会 総合研), 橋本真一 (芝浦工大), 橋本真一 (建設物価調査会 総合研)",
72,2019,建築生産シンポジウム論文集,,日本のプレキャストコンクリートの普及に関する研究 日本の集合住宅や韓国・アメリカの現状を通して,"伊原大貴 (立命館大 大学院理工学研究科), 持田泰秀 (立命館大)",
73,2019,建築生産シンポジウム論文集,,東京都区部と大阪市における建築ストック利用の調査-ストック利用の変遷の比較-,"村松稜太 (早稲田大 院創造理工学研究科), 板谷敏正 (プロパティデータバンク), 石原健司 (早稲田大 院創造理工学研究科), 小松幸夫 (早稲田大 理工学術院)",
74,2019,建築生産シンポジウム論文集,,"鉄骨生産プロセスのWBSによる記述と,その活用による生産リードタイムと鉄骨製品品質の関係の検討","古川暁 (美浜スチールロジスティクス), 吉田知洋 (鹿島建設), CHI Naiyuan (M.C.S.STEEL PUBLIC Co., Ltd), 角田恒男 (M.C.S.STEEL PUBLIC Co., Ltd), 岡本裕之 (M.C.S.STEEL PUBLIC Co., Ltd), 古阪秀三 (立命館大 OIC総合研究機構 グローバルMOT研究セ)",
75,2019,建築生産シンポジウム論文集,,建築工事における実績収集技術の適用報告,"染谷俊介 (竹中工務店 竹中技研), 多葉井宏 (竹中工務店 竹中技研)",
76,2019,建築生産シンポジウム論文集,,「世代会計」を援用した公共施設管理の手法検討に関する研究,"粒來耕平 (昭和設計), 堤洋樹 (前橋工科大), 松村俊英 (ジャパンシステム)",
77,2018,建築生産シンポジウム論文集,,超高層分譲マンションにおける排水管改修工事の設計・施工プロセス,"宇治康直 (東洋大 工技研), 秋山哲一 (東洋大 理工), 山口幸平 (建装工業)",
78,2018,建築生産シンポジウム論文集,,日本建設業における労働力需給調整の実態解明に関する研究,"小松智之 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 工), 田澤周平 (竹中工務店)",
79,2018,建築生産シンポジウム論文集,,画像マーカー型AR方式による教材開発事例とその発展について,"西澤秀喜 (職業能力開発総合大), 蟹澤宏剛 (芝浦工大 建築), 吉田競人 (第一工大), 舩木裕之 (職業能力開発総合大)",
80,2018,建築生産シンポジウム論文集,,極限環境における大規模コミュニティ建設のための建築生産技術に関する調査研究,五十嵐宇晴 (東大 大学院工学系研究科),
81,2018,建築生産シンポジウム論文集,,建築プロジェクトにおける発注者の意思決定に関する研究-近年のホテルプロジェクトにおけるメンバー間の情報伝達の仕組みについて-,"田村篤 (京大 大学院工学研究科), 金多隆 (京大 大学院工学研究科)",
82,2018,建築生産シンポジウム論文集,,日本における高層ビル施工の変遷に関する研究-揚重・運搬・情報に着目した生産性向上の取り組み-,"黒坂雅人 (首都大学東京 大学院都市環境科学研究科), 三浦玲児 (東大 大学院工学系研究科), 松本有未子 (乃村工藝社), 権藤智之 (東大 大学院工学系研究科)",
83,2018,建築生産シンポジウム論文集,,免震レトロフィットにおける仮受工法の工程歩掛に関する研究,"伊原大貴 (立命館大 大学院理工学研究科), 持田泰秀 (立命館大)",
84,2018,建築生産シンポジウム論文集,,建築作業における運搬手順特性の分析 枠組足場施工実験における1人作業と組作業の運搬手順の比較,石岡宏晃 (清水建設 技研),
85,2018,建築生産シンポジウム論文集,,工業化構法住宅の生産性向上に関する研究(その3)鉄骨系プレハブ住宅を対象とした工数調査に基づく定量的分析,"平田悠真 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 佐々木麻衣 (芝浦工大 大学院理工学研究科)",
86,2018,建築生産シンポジウム論文集,,東京都区部における建物利用の変化に関する研究 建物利用の変遷の定量的調査,"黒澤綱亮 (早稲田大 理工学術院), 小松幸夫 (早稲田大 理工学術院), 板谷敏正 (プロパティーデータバンク), 石原健司 (早稲田大 大学院創造理工学研究科)",
87,2018,建築生産シンポジウム論文集,,技能五輪国際大会(WSC)建築大工職競技課題と職種定義に関する研究,"深井和宏 (ものつくり大), 森脇康太 (神田組), 三原斉 (ものつくり大)",
88,2018,建築生産シンポジウム論文集,,ミャンマー連邦共和国における日本水準の建設技能訓練者育成プログラムに関する研究-鉄筋・型枠および左官・レンガの各技能教育訓練-,"三原斉 (ものつくり大), 深井和宏 (ものつくり大), 吉田倬郎 (工学院大), 浦江真人 (東洋大)",
89,2018,建築生産シンポジウム論文集,,建設業における外国人労働者の活用と労働安全衛生上の課題,"高木元也 (労働安全衛生総合研), 庄司卓郎 (産業医大), LU Jian (労働安全衛生総合研), 惠羅さとみ (成蹊大 アジア太平洋セ), 安井翔一 (芝浦工大 建築), 蟹澤宏剛 (芝浦工大 建築)",
90,2018,建築生産シンポジウム論文集,,工業化された建築システムにおける住宅内装システムの分析-中国と日本を例として,"YIN Lu (Univ. Tokyo), MORISHITA Yu (Univ. Tokyo), YASHIRO Tomonari (Univ. Tokyo)",
91,2018,建築生産シンポジウム論文集,,インドネシアの建築生産システムに関する研究,"羽田圭佑 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 志手一哉 (芝浦工大 建築), 佐藤秀昂 (芝浦工大 大学院理工学研究科)",
92,2018,建築生産シンポジウム論文集,,プレカットを用いた木造軸組住宅(四号建築物)に関する研究 仕様規定から見た四号建築物の実態,"中野晃吉 (芝浦工大 大学院理工学研究科), 鈴木康右 (芝浦工大 大学院理工学研究科), 村上淳史 (村上木構造デザイン室), 蟹澤宏剛 (芝浦工大 建築)",
93,2018,建築生産シンポジウム論文集,,地域評価から見た空き家発生要因の分析,"山越郁也 (前橋工科大 大学院), 堤洋樹 (前橋工科大), 讃岐亮 (首都大学東京)",
94,2018,建築生産シンポジウム論文集,,英国のBIMに関連する社会システムに関する研究,"三上智大 (芝浦工大), 田澤周平 (竹中工務店), 安藤正雄, 平野吉信, 蟹澤宏剛 (芝浦工大), 岩松準 (建築コスト管理システム研), 小笠原正豊 (東京電機大), 志手一哉 (芝浦工大)",
95,2018,建築生産シンポジウム論文集,,マンションにおける設備改修工事費の傾向と長期修繕計画との関連性に関する考察,"橋本真一 (建設物価調査会 総合研), 山本高史 (建設物価調査会 総合研)",
96,2018,建築生産シンポジウム論文集,,ベトナムにおけるBIMの普及動向に関する考察,"志手一哉 (芝浦工大 建築), 井上淳 (野原産業 VDCカンパニー), 安井翔一 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築)",
97,2018,建築生産シンポジウム論文集,,公共施設整備における住民参加の手法に関する研究-ワークショップと施設情報収集ツールの有用性の検討-,"水谷俊貴 (前橋工科大), 堤洋樹 (前橋工科大), 讃岐亮 (首都大学東京)",
98,2018,建築生産シンポジウム論文集,,複合公共施設の運営手法について-学校施設複合化の実態-,"藪下玲央 (早稲田大 院理工学術院), 平井健嗣 (早稲田大 理工学術院 総合研), YI Sangjun (関東学院大 建築・環境), 小松幸夫 (早稲田大 理工学術院)",
99,2018,建築生産シンポジウム論文集,,北海道における小規模住宅生産者の組織化に関する研究 地域型住宅グリーン化事業を一例として,"三友かんな (首都大学東京 大学院都市環境科学研究科), 権藤智之 (東大 大学院工学系研究科)",
100,2018,建築生産シンポジウム論文集,,バンコクにおける分譲集合住宅管理の現状と課題-管理方式に着目して-,"津幡慶太郎 (首都大学東京 大学院都市環境科学研究科), 権藤智之 (東大 大学院工学系研究科), 山本紗耶香 (首都大学東京 大学院都市環境科学研究科), 山本紗耶香 (小田急電鉄), ARAMRAKS Kanyapa (首都大学東京 大学院都市環境科学研究科)",
101,2018,建築生産シンポジウム論文集,,地方自治体が主催する建築系学生を対象とした実施コンペにみる建築設計教育のありかた,辻井麻衣子 (摂南大 大学院理工学研究科),
102,2018,建築生産シンポジウム論文集,,建築修繕履歴から考える建物の経常修繕に関する研究,"入澤良 (前橋工科大 大学院), 堤洋樹 (前橋工科大)",
103,2018,建築生産シンポジウム論文集,,日本のゼネコンの中国進出についての分析,"YOU Ran (京大 大学院工学研究科), 金多隆 (京大 大学院工学研究科)",
104,2018,建築生産シンポジウム論文集,,分譲マンションの大規模改修工事における予備費のコスト管理,"秋山哲一 (東洋大 理工), 宇治康直 (東洋大 工技研), 山口幸平 (建装工業)",
105,2018,建築生産シンポジウム論文集,,施工図の実態に関する研究 施工図の作成者と役割の変遷に着目して,"篠原廉 (芝浦工大 大学院理工学研究科), 蟹澤宏剛 (芝浦工大 建築), 権藤智之 (東大 大学院), 松倉裕貴 (首都大学東京)",
106,2018,建築生産シンポジウム論文集,,住空間IoTにおける組織間の責任分担のあり方に関する考察,野城智也 (東大 生産技研),
107,2018,建築生産シンポジウム論文集,,バイオクライマティック建築理論の工業化建築への応用に関する研究,"BARGHINI Lorenzo (Univ. Tokyo), MORISHITA Yu (Univ. Tokyo), YASHIRO Tomonari (Univ. Tokyo)",
108,2018,建築生産シンポジウム論文集,,建築工事における管理業務の可視化と工数の実態に関する研究,"斎藤寛彰 (戸田建設), 樋口正一郎 (戸田建設)",
109,2018,建築生産シンポジウム論文集,,鉄筋工事におけるICTの活用に関する考察 2,"田中大士 (芝浦工大 大学院理工学部研究科), 志手一哉 (芝浦工大 工), 曽根巨充 (前田建設工業), 渡邉寛也 (前田建設工業)",
110,2018,建築生産シンポジウム論文集,,中小規模の建設業者の地域における競争優位性の実証的検証:北海道開発局の入札結果情報の分析,"森本恵美 (徳島大), 荒井弘毅 (秀明大 総合経営)",
111,2018,建築生産シンポジウム論文集,,小規模商業施設における年間を通じた自然換気と機械換気の組合せ有効活用に関する省エネルギー上の課題とIOTを活用した解決のための仕組みの提案,"馬郡文平 (東大 生産技研), 野城智也 (東大 生産技研)",
112,2018,建築生産シンポジウム論文集,,可変的/固定的要素分業システムの歴史的意義,藤尾直史 (千葉科大),
113,2018,建築生産シンポジウム論文集,,多様化する発注契約方式の実態に関する研究 その2-日英米の比較を通して-,"伊井夏穂 (芝浦工大 大学院理工学部研究科), 志手一哉 (芝浦工大 建築)",
114,2018,建築生産シンポジウム論文集,,建築情報構法としてのBIM-建築情報を構造化するプロセスへの言及-,"森下有 (東大 生産技研), 野城智也 (東大 生産技研)",
115,2017,建築生産シンポジウム論文集,,公共建築のプロジェクトマネジメントにおける発注者ニーズの生かし方,"DENG Nisi (SGリアルティ), 金多隆 (京大), 古阪秀三 (立命館大 グローバルMOT研究セ)",
116,2017,建築生産シンポジウム論文集,,"設計,施工,運用の連携を目指すBIMの有り様に関する研究","森下有 (東大), 野城智也",
117,2017,建築生産シンポジウム論文集,,大規模改修工事における不確定要素に伴うコスト管理,"山口幸平 (東洋大 大学院理工学研究科), 宇治康直 (東洋大 工技研), 秋山哲一 (東洋大 理工)",
118,2017,建築生産シンポジウム論文集,,木造大壁内部の簡易非破壊劣化診断手法の検証,堤洋樹 (前橋工科大),
119,2017,建築生産シンポジウム論文集,,米国におけるIntegrated Project Delivery(IPD)に関する研究 民間IPD約款の比較,"田澤周平 (竹中工務店 竹中技研), 濱地和雄 (オートデスク), 小笠原正豊 (東京電機大 未来科学), 岩松準 (建築コスト管理システム研), 志手一哉 (芝浦工大 建築), 蟹澤宏剛 (芝浦工大 建築), 平野吉信, 安藤正雄",
120,2017,建築生産シンポジウム論文集,,建設サービス等の国際取引の状況について-国際収支関連統計の集計と分析-,岩松準 (建築コスト管理システム研),
121,2017,建築生産シンポジウム論文集,,建設プロジェクトにおける官民連携事業手法の分析-PPP/PFIのメリット・デメリット-,"岡崎祐樹 (Y’s& partners), 金多隆 (京大), 古阪秀三 (立命館大 グローバルMOT研究セ), 得能孝生 (京大)",
122,2017,建築生産シンポジウム論文集,,VR技術を用いた工事作業の再現と安全評価に関する研究,石田航星 (工学院大 建築),
123,2017,建築生産シンポジウム論文集,,分譲マンションの専有部分改修工事における不確定要素に関する研究,"宇治康直 (東洋大 工技研), 秋山哲一 (東洋大 理工)",
124,2017,建築生産シンポジウム論文集,,携帯端末で操作するRC造施工実習用の教材開発と効果検証について,"西澤秀喜 (職業能力開発総合大), 西澤秀喜 (芝浦工大), 蟹澤宏剛 (芝浦工大 工), 吉田競人 (職業能力開発総合大), 舩木裕之 (職業能力開発総合大)",
